iter	Passed	Remaining
0	55	55743
1	56	27999
2	56	18740
3	56	14115
4	56	11333
5	57	9480
6	57	8161
7	57	7166
8	58	6394
9	58	5773
10	58	5266
11	58	4843
12	59	4485
13	59	4179
14	59	3911
15	59	3679
16	60	3474
17	60	3293
18	60	3131
19	60	2983
20	61	2850
21	61	2728
22	61	2618
23	61	2517
24	62	2425
25	62	2339
26	62	2259
27	62	2186
28	63	2116
29	63	2052
30	63	1991
31	63	1935
32	64	1883
33	64	1833
34	64	1787
35	65	1742
36	65	1700
37	65	1660
38	65	1623
39	66	1586
40	66	1552
41	66	1519
42	66	1489
43	67	1460
44	67	1432
45	67	1405
46	68	1379
47	68	1354
48	68	1331
49	68	1308
50	69	1286
51	69	1264
52	69	1244
53	69	1224
54	70	1205
55	70	1187
56	70	1169
57	70	1152
58	71	1136
59	71	1120
60	71	1104
61	72	1089
62	72	1075
63	72	1060
64	72	1047
65	73	1034
66	73	1022
67	73	1007
68	73	995
69	73	983
70	74	971
71	74	960
72	74	950
73	75	939
74	75	929
75	75	919
76	75	910
77	76	901
78	76	891
79	76	882
80	77	876
81	78	875
82	78	867
83	78	859
84	78	849
85	79	841
86	79	832
87	79	824
88	79	817
89	80	810
90	80	803
91	80	796
92	80	789
93	81	782
94	81	776
95	81	769
96	82	765
97	82	759
98	82	753
99	83	747
100	83	741
101	83	734
102	83	728
103	83	723
104	84	717
105	84	712
106	84	707
107	85	702
108	85	698
109	85	693
110	86	688
111	86	683
112	86	679
113	86	674
114	87	669
115	87	664
116	87	660
117	87	656
118	87	651
119	88	647
120	88	643
121	88	639
122	88	634
123	89	630
124	89	626
125	89	622
126	89	618
127	90	613
128	90	610
129	90	606
130	90	602
131	91	599
132	91	595
133	91	592
134	91	589
135	92	585
136	92	582
137	92	578
138	92	575
139	93	572
140	93	569
141	93	567
142	94	564
143	94	560
144	94	558
145	94	555
146	95	552
147	95	549
148	95	546
149	96	544
150	96	541
151	96	538
152	96	536
153	97	533
154	97	531
155	97	528
156	97	525
157	98	523
158	98	520
159	98	518
160	98	515
161	99	513
162	99	511
163	99	508
164	100	506
165	100	504
166	100	502
167	101	500
168	101	497
169	101	495
170	101	493
171	102	491
172	102	489
173	102	487
174	103	486
175	103	484
176	103	482
